t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787311250.574755,-2.5000007962268787,-0.9780065764766671,90.00020020887924,-2.4238174745682977,-1.0642580305209708,90.94037728911478,0.1151,0.940
1787311250.703163,-2.5000007962265736,-0.9780065764764084,90.00020020895217,-2.4238174743957126,-1.0642580305157723,90.9403772359545,0.1151,0.940
1787311250.7600322,-2.500000796227388,-0.9780065765663144,90.00020021022554,-2.4238174771844334,-1.0642580307311094,90.94037857942547,0.1151,0.940
1787311250.9047134,-2.500000796227085,-0.978006576566058,90.00020021029822,-2.4238174741391094,-1.064258030284268,90.94037730781456,0.1151,0.940
1787311250.9740674,-2.500000796225968,-0.978006576475896,90.00020020909744,-2.4238174766914296,-1.064258030630113,90.94037859291977,0.1151,0.940
1787311251.1008675,-2.5000007962256676,-0.9780065764756416,90.00020020916962,-2.423817476905912,-1.0642580307732907,90.94037858060916,0.1151,0.940
1787311251.1681147,-2.500000796226485,-0.9780065765655497,90.00020021044263,-2.423817476919897,-1.0642580307717824,90.94037858138319,0.1151,0.940
1787311251.298636,-2.500000796226188,-0.9780065765652979,90.00020021051448,-2.4238174741677403,-1.0642580303818672,90.9403773036768,0.1151,0.940
1787311251.3652887,-2.500000796225074,-0.9780065764751379,90.00020020931328,-2.4238174740700034,-1.0642580303380051,90.94037730793416,0.1151,0.940
1787311251.475306,-2.5000007962247794,-0.9780065764748884,90.0002002093847,-2.4238174768691536,-1.0642580307413034,90.94037858407073,0.1151,0.940
1787311251.5990531,-2.5000007962244877,-0.9780065764746404,90.0002002094559,-2.4238174740930174,-1.0642580303521745,90.94037730649745,0.1151,0.940
1787311251.662303,-2.5000007962253084,-0.9780065765645515,90.00020021072841,-2.4238174773234555,-1.064258030816838,90.94037857171041,0.1151,0.940
1787311251.7895565,-2.5000007962250193,-0.9780065765643055,90.00020021079922,-2.423817474085928,-1.064258030259113,90.94037731158151,0.1151,0.940
1787311251.852492,-2.500000796223908,-0.9780065764741482,90.0002002095975,-2.4238174740402667,-1.064258030315418,90.94037730887811,0.1151,0.940
