trial,amcl_x,amcl_y,amcl_yaw,cov_xx,conv_t_s,pose_changed,gt_x,gt_y,err_m,verdict
1,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.4999704780000229,False,-0.363,0.0,0.30511020203617484,NO_REINIT
2,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.49999771800003145,False,-0.363,0.0,0.30511020203617484,NO_REINIT
3,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.49994968800001516,False,-0.363,0.0,0.30511020203617484,NO_REINIT
4,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.4999032929999885,False,-0.363,0.0,0.30511020203617484,NO_REINIT
5,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.4998339729999657,False,-0.363,0.0,0.30511020203617484,NO_REINIT
6,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.500067773000012,False,-0.363,0.0,0.30511020203617484,NO_REINIT
7,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.5000932880000164,False,-0.363,0.0,0.30511020203617484,NO_REINIT
8,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.49986142400001654,False,-0.363,0.0,0.30511020203617484,NO_REINIT
9,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.5000470420000056,False,-0.363,0.0,0.30511020203617484,NO_REINIT
10,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.4997600890000058,False,-0.363,0.0,0.30511020203617484,NO_REINIT
11,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.4999770260000105,False,-0.363,0.0,0.30511020203617484,NO_REINIT
12,-0.07360838121580007,-0.09666812486034745,0.7900096669678747,0.03696519158765093,0.5015509049999878,False,-0.363,0.0,0.30511020203617484,NO_REINIT
