t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787374276.2948656,-2.478025850446971,7.358861436674495e-07,-1.3891829983957072e-05,-2.6497037574342466,-0.05764052217723285,1.237098244988611,0.1811,1.237
1787374276.3615584,-2.4780258504717056,7.353698866922648e-07,-1.3814334027637246e-05,-2.6533270120821517,-0.05819849399428791,1.2438538064730404,0.1847,1.244
1787374276.4953144,-2.478025850384768,7.353865827378525e-07,-1.3691912110507496e-05,-2.653298172652907,-0.05726993306360079,1.2186916990266488,0.1844,1.219
1787374276.563028,-2.4780258504094506,7.359168336559232e-07,-1.3650364142358119e-05,-2.6500278904277974,-0.05798394530377153,1.2416249644226331,0.1815,1.242
1787374276.6956232,-2.478025850541505,7.358116976956557e-07,-1.4068236505215573e-05,-2.6490172251599873,-0.05807469655793191,1.2432010462345375,0.1806,1.243
1787374276.7612908,-2.478025850591728,7.354094361423241e-07,-1.3992851772114056e-05,-2.6452392896931185,-0.05528921117639299,1.1920783718091577,0.1761,1.192
1787374276.898334,-2.4780258505206136,7.35425601137746e-07,-1.3867339150738624e-05,-2.6482162312296125,-0.055829138031101316,1.222418172662181,0.1791,1.222
1787374276.974496,-2.4780258504148835,7.358260668518027e-07,-1.3816759238742742e-05,-2.6520245773906983,-0.05630554365277184,1.228429923848056,0.1829,1.228
1787374277.0415049,-2.4780258504308224,7.354472418194514e-07,-1.3744369731781899e-05,-2.6532464251579255,-0.05638718448468703,1.2292113405743648,0.1841,1.229
1787374277.170846,-2.4780258504947024,7.354557854315311e-07,-1.3642448458912505e-05,-2.6546003497553774,-0.05645573556308479,1.2297703173479158,0.1854,1.230
1787374277.241097,-2.4780258504886308,7.359490074844389e-07,-1.3578728496940052e-05,-2.6549505605683614,-0.05812973347749408,1.236737923485143,0.1862,1.237
1787374277.3798604,-2.4780258505577097,7.358944065170283e-07,-1.4000755332952199e-05,-2.6534438623122356,-0.05880817145203833,1.2464922750111085,0.1850,1.247
1787374277.4984252,-2.4780258504871986,7.359170131339106e-07,-1.3877825010586915e-05,-2.654093126769218,-0.059065063633530174,1.2484572235493103,0.1857,1.248
1787374277.564339,-2.47802585046441,7.354641794875434e-07,-1.3822336995964933e-05,-2.649691788065312,-0.05828477347924015,1.2460850877181857,0.1813,1.246
1787374277.6970463,-2.4780258504209787,7.3547865270799e-07,-1.3686351073641118e-05,-2.648692206163492,-0.05821502153141877,1.2454002167210652,0.1803,1.245
1787374277.7610302,-2.478025850404562,7.358770082388163e-07,-1.3629712943580348e-05,-2.647473164589994,-0.058149660201676896,1.244840283389104,0.1791,1.245
