t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787537299.497848,-2.48208944073503,2.044283782249906e-06,-0.00031545036714803804,-2.485878455935133,-0.003944077190332969,0.11000398204961989,0.0055,0.110,-2.407837341553579,-0.09753004072976718,1.0804163470042887,0.1226
1787537299.5823,-2.4820711217855678,2.031396968651711e-06,-0.0003147336172814223,-2.4856279721700645,-0.003970109323279006,0.11296300404630609,0.0053,0.113,-2.5931677747533017,0.029098660223565248,-0.719213746811446,0.1148
1787537299.6732361,-2.4819047049278193,2.0187725705029668e-06,-0.00031421119149178386,-2.512676134229352,0.01106560634742524,-0.42647796025667006,0.0327,0.426,-2.5931677747533017,0.029098660223565248,-0.719213746811446,0.1150
1787537299.7559588,-2.4815900850968253,2.007590494722478e-06,-0.00031389320858395787,-2.4624236161883903,-0.0008019485466933263,0.08432503569167317,0.0192,0.085,-2.434587767651394,-0.003725889420930346,0.13174844439122194,0.0471
1787537299.9153755,-2.480514727362123,1.990856195013298e-06,-0.00031387395204326784,-2.463490936896601,0.0059806723641459185,-0.14471890040489893,0.0180,0.144,-2.4648871873133484,0.011359104414601452,-0.20786497302512816,0.0193
1787537299.9934125,-2.479752713484267,1.9849594872567227e-06,-0.0003141717071293272,-2.4634442407635744,0.005993832106482065,-0.14567823158183515,0.0174,0.145,-2.42090957510081,-0.02749118945475523,0.6117426672317644,0.0649
1787537300.071434,-2.478839961365015,1.9800667991692552e-06,-0.00031466603241583685,-2.4491042891223276,-0.012733290155277589,0.36080482618589815,0.0323,0.361,-2.5441410466845795,-0.03655649198630298,0.8727785390280464,0.0748
1787537300.1680307,-2.47777535012868,1.9755752144036496e-06,-0.00031535088414648844,-2.4740243925395466,-0.02214784960606484,0.6052138753717401,0.0225,0.606,-2.7118842084406816,-0.0572921501711313,1.2897002543181877,0.2410
1787537300.251401,-2.476913553563481,2.150457480175756e-06,-0.0003204690625647051,-2.5064423358273196,-0.026577723156643026,0.7573164307699001,0.0397,0.758,-2.7118842084406816,-0.0572921501711313,1.2897002543181877,0.2419
1787537300.412649,-2.4754346984716484,2.274791760631178e-06,-0.0003257713720792537,-2.506540917338288,-0.026632999446987687,0.7667466245370874,0.0410,0.767,-2.5545948032775354,0.042772463824689806,-0.8921267757663404,0.0900
1787537300.4867766,-2.474832899310825,2.282720859509362e-06,-0.0003270704598030643,-2.5076158285365553,0.010115449972820833,-0.3933378186797775,0.0343,0.393,-2.5545948032775354,0.042772463824689806,-0.8921267757663404,0.0905
1787537300.57173,-2.4743222303177843,2.271476874647849e-06,-0.00032777701771427397,-2.5524897839695635,-0.017691947391674883,0.6077512703546545,0.0801,0.608,-2.538009854828754,0.03112893541303864,-0.767917630180148,0.0709
1787537300.6708548,-2.4739018010146205,2.249377645556277e-06,-0.00032806969403326945,-2.539710664485052,0.0072584450076287315,-0.33235590394097175,0.0662,0.332,-2.8200559138275074,0.01606212931610226,-0.33235590394097175,0.3465
1787537300.753406,-2.473570856238882,2.222426769922563e-06,-0.00032809096348624935,-2.587464119902278,0.01057594761751659,-0.38518372737681283,0.1144,0.385,-2.8200559138275074,0.01606212931610226,-0.33235590394097175,0.3469
1787537300.8330066,-2.4733287979344096,2.1947758075798937e-06,-0.0003279479708150622,-2.631491948672483,0.012040936731589942,-0.3320121406970487,0.1586,0.332,-2.813613533712167,0.01531349485663605,-0.3851837273768129,0.3406
1787537301.0122042,-2.4731097503591504,2.1468943213782813e-06,-0.0003274401921571373,-2.670904913919935,0.012886296466353444,-0.34612802084897987,0.1982,0.346,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3668
1787537301.0933478,-2.4731323694861764,2.127852923189692e-06,-0.0003271325568614808,-2.6709985021085045,0.012893799792481774,-0.3477059676575161,0.1983,0.347,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3668
1787537301.1863878,-2.473243093009769,2.114322558831262e-06,-0.0003268235875605107,-2.670976866997832,0.012891691193555597,-0.3472692940073388,0.1982,0.347,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3667
1787537301.2708082,-2.473442130685955,2.1050819508691536e-06,-0.00032652016139802175,-2.6709858465036698,0.012892440476588996,-0.3474104654514472,0.1980,0.347,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3665
1787537301.3767345,-2.474106803540958,2.095797902946161e-06,-0.00032580760391414,-2.671019154657083,0.01289914617385725,-0.34878546373050434,0.1973,0.348,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3658
1787537301.4731462,-2.475131329433627,2.0967286327587716e-06,-0.000324902187554063,-2.671041488034354,0.01290531663861376,-0.3495283118392342,0.1963,0.349,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3648
1787537301.608646,-2.476523265325269,2.1035400894559497e-06,-0.0003236733093591794,-2.6710193007327327,0.012898612241625827,-0.3488674145530412,0.1949,0.349,-2.839564980726652,0.015562338490453876,-0.3320121406970487,0.3634
1787537301.6939716,-2.477360088863194,2.107653419341121e-06,-0.00032289314438574065,-2.677662023577606,0.01077045572050083,0.25896512719950426,0.2006,0.259,-3.321980756413618,-0.16878483550557588,-0.3488674145530412,0.8613
1787537301.761608,-2.4783095312736,0.000381689707374995,0.0023096916828304697,-2.677700965087608,0.01078952168307554,-0.010566085312830674,0.1997,0.013,-3.321980756413618,-0.16878483550557588,-0.3488674145530412,0.8605
1787537301.916866,-2.479328169968645,0.0012952163497164286,-0.04209699537788619,-2.5853559104137247,0.003140430954886717,-0.04892826169011805,0.1060,0.007,-2.539343229740116,0.0025663073050978666,-0.04122683168839436,0.0600
1787537302.0158763,-2.4796930132819988,0.0014245036325244037,-0.08952727354055041,-2.5792559339232164,0.016148692438269576,-0.14750932291737953,0.1006,0.058,-2.5249591036809167,0.010700727409201319,-0.187019486238748,0.0462
1787537302.1027272,-2.479883895499569,0.0011448338017488434,-0.10217265430663888,-2.5456502508228023,0.013939502543559499,-0.24753787063284152,0.0670,0.145,-2.5249591036809167,0.010700727409201319,-0.187019486238748,0.0461
1787537302.2093976,-2.4803925758058205,7.268898828786328e-05,0.13285964919682505,-2.5432985072321834,0.014228223836449111,-0.2548199031029107,0.0645,0.388,-2.5249591036809167,0.010700727409201319,-0.187019486238748,0.0458
1787537302.2592008,-2.4806660614068003,-0.00026538541111646475,0.33565335513831757,-2.5416956427415904,0.014425728273314111,-0.25965251333987904,0.0628,0.595,-2.5249591036809167,0.010700727409201319,-0.187019486238748,0.0456
1787537302.4058762,-2.479416317579005,0.000520687679551373,0.4612649350483981,-2.510715712575673,0.02480219970507437,-0.5194459881030116,0.0396,0.981,-2.4828507407949965,0.02436930753193542,-0.5093997504067855,0.0241
1787537302.4953828,-2.4787212458447243,0.0012873702923586858,0.624603805520037,-2.5003235227884226,0.026869383883370224,-0.6210975245900013,0.0335,1.246,-2.4935967437436224,0.02606253319157038,-0.5971927541887051,0.0289
1787537302.5832365,-2.477840352688419,0.0017257309895106997,0.5502222505934722,-2.4945465752587315,0.012031209168100913,-0.11292420241722018,0.0196,0.663,-2.4958744159664175,0.0018063241628986895,-0.0007260824020344632,0.0180
1787537302.6723576,-2.4766971198633985,0.0017972649398663397,0.3939399043986868,-2.4626553719688595,0.014883174872450734,-0.18923266907947686,0.0192,0.583,-2.412817074133007,0.027660859750761425,-0.4552008291980372,0.0689
1787537302.819659,-2.473992429803704,0.0006757112341273508,0.5664930608185886,-2.4666071458983576,-0.0025452795207681414,0.5593816910303994,0.0081,0.007,-2.4702016789945476,-0.01422146596818596,0.6904836746939161,0.0154
1787537302.8884091,-2.4727452109504213,6.758352990046267e-05,0.8520691292755942,-2.4587319837678665,-0.003924395751644957,0.18149449638458212,0.0146,0.671,-2.461976935309287,-0.005648117708240079,0.795427111614665,0.0122
1787537302.9623547,-2.47099913376487,-0.00016090034083339,1.145318634628492,-2.459531071318842,-0.0045311680072209395,0.7777373472332516,0.0123,0.368,-2.461976935309287,-0.005648117708240079,0.795427111614665,0.0106
1787537303.0459182,-2.4692624422278704,-9.389884283060492e-05,1.4052277992923514,-2.472920430329495,-0.014364360394625075,1.1918891809514915,0.0147,0.213,-2.5143260344650296,-0.02044759402139914,1.2990599147448643,0.0494
1787537303.2170718,-2.465894488972824,0.0006154116940259305,1.5724233767496985,-2.5101168930054887,0.010497680140664187,1.073902677048816,0.0453,0.499,-2.615653665574286,0.04286109560278244,0.5073097075040458,0.1556
1787537303.3033855,-2.464454268946454,0.0005960933337411278,1.5672078536543497,-2.5098376933839,0.009230713446038711,1.1764987113625016,0.0462,0.391,-2.6394870015353185,-0.05826329540881316,2.806354748674648,0.1847
1787537303.385973,-2.462931719829171,0.00019836621045196977,1.5422448739205363,-2.5525419489075256,-0.02669281932024292,2.2248801417481343,0.0936,0.683,-2.6394870015353185,-0.05826329540881316,2.806354748674648,0.1860
1787537303.471423,-2.461409974835953,-0.0004477800665215808,1.6149288122906165,-2.544603124627202,-0.02381104778831608,2.2135304805045157,0.0864,0.599,-2.6394870015353185,-0.05826329540881316,2.806354748674648,0.1872
1787537303.5443425,-2.460440148063032,-0.0009851320462691624,1.6358093934767148,-2.5438841543343536,-0.02131488200439382,0.7535916662077161,0.0859,0.882,-2.6394870015353185,-0.05826329540881316,2.806354748674648,0.1880
1787537303.6469574,-2.459427589948734,-0.0012535969414460464,1.699898903496788,-2.5439583787583877,-0.02139337246126687,0.7836933591610834,0.0869,0.916,-1.9867431940129006,-0.05765773208487923,0.7836933591610833,0.4760
