t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787415608.4318368,-2.4679468894474357,1.3621964747446817e-06,-1.1187249348940852e-06,,,,,,,,,
1787415608.5109184,-2.467398872848739,1.3334835798708446e-06,-1.6519829790318815e-06,-2.5398112050720454,0.002244586722935158,-0.057828367419008306,0.0724,0.058,,,,
1787415608.6095428,-2.4671592322797657,1.3186679475707245e-06,-1.6829542701946352e-06,-2.5398112050720454,0.002244586722935158,-0.057828367419008306,0.0727,0.058,,,,
1787415608.734258,-2.467226022384926,1.3123640350693453e-06,-1.5952491956374398e-06,-2.559756640310412,0.0036498217838669745,-0.07260705057806983,0.0926,0.073,,,,
1787415608.8019676,-2.4673743730288233,1.3119754454389554e-06,-1.6957813588649016e-06,-2.5698104847541425,0.004359427209255802,-0.07999775976628003,0.1025,0.080,,,,
1787415608.942333,-2.4679023692963624,1.3123234240185004e-06,-1.7560663101080657e-06,-2.579918628904153,0.005073292917897184,-0.08738949736783948,0.1121,0.087,,,,
1787415609.0152023,-2.468283011442,1.312324285487166e-06,-1.6871867217636656e-06,-2.579918628904153,0.005073292917897184,-0.08738949736783948,0.1118,0.087,,,,
1787415609.0825868,-2.4687423266797315,1.3134360858313378e-06,-9.233698224245759e-07,-2.600294807333864,0.006512323748012961,-0.10217375753523787,0.1317,0.102,,,,
1787415609.2271328,-2.469900596476067,1.3134407611337464e-06,-2.3815773800953294e-07,-2.600294807333864,0.006512323748012961,-0.10217375753523787,0.1306,0.102,,,,
1787415609.301355,-2.470601732090291,1.312293505535743e-06,7.777517428538021e-07,-2.6208759237762873,0.007967681676807845,-0.11695323659678636,0.1505,0.117,,,,
1787415609.4416199,-2.472254574855127,1.309307040564154e-06,2.109000144409875e-06,-2.6208759237762873,0.007967681676807845,-0.11695323659678636,0.1488,0.117,,,,
1787415609.5132914,-2.473209358668601,1.3062898173801546e-06,2.9610314564705305e-06,-2.6416651056647145,0.009439695801717411,-0.1317302966143445,0.1687,0.132,,,,
1787415609.587655,-2.4742520179213,1.30292874739405e-06,4.441837163116339e-06,-2.652314622880256,0.01019520601822351,-0.13924244933512378,0.1784,0.139,,,,
1787415609.7287753,-2.4766087644041677,1.294607299609057e-06,6.663897035805596e-06,-2.652314622880256,0.01019520601822351,-0.13924244933512378,0.1760,0.139,,,,
1787415609.847512,-2.4788797743401956,1.4914854847787378e-06,6.0885329210575285e-06,-2.673256752832199,0.011681146341517313,-0.15390392123542854,0.1947,0.154,,,,
1787415609.9012835,-2.479831561659046,1.6939416789279083e-06,4.763087904141071e-06,-2.683893768630619,0.012437373161309976,-0.1612956299394096,0.2044,0.161,,,,
1787415610.0465481,-2.4810524577593105,2.0406674457658933e-06,1.9366237219877495e-06,-2.524836163523844,-0.002248092347297309,-0.027570468869236826,0.0438,0.028,-2.5198677956502813,-0.0023213656230693987,-0.026365136840034532,0.0389
1787415610.121629,-2.481453362211905,2.04594959223568e-06,3.2084744298458316e-06,-2.514360629845677,-0.00887181137871915,0.09158750706284081,0.0341,0.092,-2.506489482670852,-0.009901581125842317,0.11420791742757028,0.0269
1787415610.2016087,-2.4817064616024327,1.9937705339552643e-06,5.066849516966757e-06,-2.5160434485129493,-0.009664425648514626,0.0970499953055352,0.0357,0.097,-2.4779419316816207,-0.009091864696855825,0.08209545229969113,0.0098
1787415610.3496337,-2.4817695095558547,1.8095925363540712e-06,9.606308664042675e-06,-2.4896453763352313,-0.011274823533976335,0.15226530369100455,0.0138,0.152,-2.487429292667735,-0.01205334238614675,0.16527246086465014,0.0133
1787415610.4103515,-2.4815799220520294,1.7076636470603906e-06,1.1313470186561025e-05,-2.4714674914513246,-0.007173381776085874,0.04226939361426454,0.0124,0.042,-2.4428880766767254,-0.004870897413962818,0.009719216883189758,0.0390
1787415610.478095,-2.481243267711652,1.6110557347885244e-06,1.271513438676759e-05,-2.464807904342902,-0.006957660012863872,0.04112492800455011,0.0178,0.041,-2.4567325990070246,-0.006755605703182031,0.038608199736447,0.0254
1787415610.628741,-2.4801330423877044,1.4469235079226403e-06,1.454185812863405e-05,-2.464643811999042,-0.007699553995881541,0.036599626546204196,0.0173,0.037,-2.471157977506004,-0.008019626500278805,0.04081222824416401,0.0120
1787415610.7512672,-2.4784465626055145,2.1550448616518237e-06,9.90589399914176e-06,-2.481784939742831,-0.009289003856525615,0.07653216869878017,0.0099,0.077,-2.5130627697341037,-0.010221674953588784,0.08938315069635254,0.0361
1787415610.8187947,-2.4777235542129765,3.051098289897226e-06,1.1907975551897947e-05,-2.5153834543174285,0.009552201572031942,-0.3735707045888095,0.0389,0.374,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1202
1787415610.887786,-2.477073031777391,4.179491423563777e-06,1.681137672347267e-05,-2.5200206042955373,0.012993195043270608,-0.4173790847621048,0.0449,0.417,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1208
1787415611.023998,-2.476051766994656,7.108874599827945e-06,2.7032668155386987e-05,-2.5200206042955373,0.012993195043270608,-0.4173790847621048,0.0458,0.417,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1218
1787415611.1478,-2.4754026342983853,1.0970965952596649e-05,2.854692914085461e-05,-2.5263591150079336,0.017709450840160255,-0.47645581930816194,0.0539,0.476,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1224
1787415611.2077754,-2.4752154082660907,1.3254407113656567e-05,3.40099232763197e-05,-2.529564953791962,0.02010217017298288,-0.5060018116145879,0.0579,0.506,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1226
1787415611.333722,-2.475112926902479,1.8532773615692616e-05,3.306489980408175e-05,-2.5327945526826126,0.022516687824112484,-0.5355435630158885,0.0619,0.536,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1227
1787415611.393711,-2.475196428356732,2.152053107324644e-05,3.771971477022529e-05,-2.5327945526826126,0.022516687824112484,-0.5355435630158885,0.0618,0.536,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1226
1787415611.5286145,-2.4756316361808235,2.819340143125768e-05,3.893246232083716e-05,-2.539325791647673,0.027409210539663977,-0.5946109662118505,0.0693,0.595,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1222
1787415611.599784,-2.4759827964249657,3.1864783360514224e-05,3.90313355659419e-05,-2.5426283106548953,0.02989059752063745,-0.6241563665579938,0.0730,0.624,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1219
1787415611.7469556,-2.4769505249900483,3.9870742221464854e-05,3.904044576010698e-05,-2.5426283106548953,0.02989059752063745,-0.6241563665579938,0.0721,0.624,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1209
1787415611.8139796,-2.4775658690961366,4.4175939816927734e-05,3.8532502651908624e-05,-2.5493048471622197,0.03491676200875869,-0.6832279279500797,0.0798,0.683,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1203
1787415611.9373949,-2.4790633612527664,5.345264021890911e-05,3.807504944501446e-05,-2.552679476640721,0.03746479063371242,-0.7127714342596,0.0826,0.713,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1189
1787415612.0269554,-2.479948143106742,5.842454859729187e-05,3.427336204942994e-05,-2.552679476640721,0.03746479063371242,-0.7127714342596,0.0818,0.713,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1181
1787415612.105556,-2.4809202550050515,6.357273826249391e-05,3.687140832127806e-05,-2.5595012199384026,0.04262529216388248,-0.7718495801760338,0.0894,0.772,-2.5931169140923744,0.03365982680192622,-0.8074763531251259,0.1171
1787415612.2423728,-2.483126970334526,7.444451614913348e-05,3.238133181546267e-05,-2.6404182628511412,-0.03646057150455542,0.7933474296074234,0.1615,0.793,-2.649141030513486,-0.03914205458956217,0.8403681273579428,0.1706
1787415612.3139377,-2.4843663510330254,8.018078448402861e-05,3.491086956087475e-05,-2.548395874685461,-0.008147043895031285,0.035521143439654325,0.0646,0.035,-2.517878096741532,-0.004970409502782178,0.021912686763202054,0.0339
1787415612.3959572,-2.4856988835842375,8.612450235758357e-05,3.430361382481865e-05,-2.5150022933724383,-0.0059044748494486345,0.04083694167399515,0.0299,0.041,-2.4715833625935875,-0.0025906807484912336,-0.02293114623271219,0.0144
1787415612.5315523,-2.4886349843486952,9.855129350580394e-05,3.267956769207106e-05,-2.5119972518703717,-0.0055723348470781186,0.03599823700801401,0.0240,0.036,-2.364711595756267,-0.02606349048160839,0.31340784247622033,0.1267
1787415612.5985146,-2.4898882120153987,0.00010541827949348681,-9.004848342975314e-05,-2.4333994847025373,-0.020700178406557617,0.20252085259880312,0.0602,0.203,-2.364711595756267,-0.02606349048160839,0.31340784247622033,0.1279
1787415612.734498,-2.4920602149547393,0.00011946707345889603,-0.00018965892863769356,-2.3641634627910264,-0.018604904196479005,0.2657483301158666,0.1293,0.266,-2.3223916354993883,-0.016655701528734128,0.2407079454045719,0.1705
1787415612.8097332,-2.4929408153791712,0.00012685426376278565,-0.0002816586337599402,-2.28733509576408,-0.032153045222927876,0.7831004188004747,0.2081,0.783,-2.1959298398603564,-0.049675705861729993,1.23789371435965,0.3012
1787415612.8957381,-2.4936834626607767,0.0001344908604189373,-0.0003811272160980543,-2.243219936121617,-0.03693679522695333,0.8615567594140109,0.2532,0.862,-2.1959298398603564,-0.049675705861729993,1.23789371435965,0.3019
1787415613.0310705,-2.4947748275333175,0.0001504722331923662,-0.0005594575132538449,-2.243219936121617,-0.03693679522695333,0.8615567594140109,0.2543,0.862,-2.1959298398603564,-0.049675705861729993,1.23789371435965,0.3030
1787415613.1163874,-2.495613995369264,0.00016783380397812435,-0.0006681554213891689,-2.189419764275945,-0.04269750240404343,0.9553930813873597,0.3092,0.956,-2.1959298398603564,-0.049675705861729993,1.23789371435965,0.3038
1787415613.2465754,-2.4965414849249163,0.0001865675273036455,-0.0006651258560307282,-2.1616496094474535,-0.045625541484301375,1.0030711852472545,0.3380,1.004,-2.1959298398603564,-0.049675705861729993,1.23789371435965,0.3047
