t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787376069.8468397,-2.4780322992615536,7.777459002558499e-07,-1.6536479824314937e-05,,,,,
1787376069.9280329,-2.4780322991670167,7.777510527324399e-07,-1.6537938873792497e-05,,,,,
1787376070.050177,-2.478032299158266,7.777660429407875e-07,-1.6538535079404904e-05,,,,,
1787376070.1700518,-2.478032299233022,7.777933460896243e-07,-1.6538488716216862e-05,,,,,
1787376070.253266,-2.4780322992995307,7.821109729397476e-07,-1.662394810907236e-05,,,,,
1787376070.3565822,-2.4780323037361494,1.0267889289968923e-06,-2.1433114238702427e-05,,,,,
1787376070.4508991,-2.47803231826036,1.930871220908896e-06,-3.917142136646346e-05,,,,,
1787376070.5399737,-2.4780323265318254,3.318343388704608e-06,-6.631170039943506e-05,,,,,
1787376070.6405277,-2.4780322904484677,5.033833379004766e-06,-9.972580264399073e-05,,,,,
1787376070.7414293,-2.4780321337859474,7.323156562172078e-06,-0.00014419698056564772,,,,,
1787376070.8481739,-2.478031805479803,8.311290893423169e-06,-0.00016280661390954642,,,,,
1787376070.9622114,-2.478031276263931,9.124447069824713e-06,-0.00017777701295382917,,,,,
1787376071.0187044,-2.4780309713535695,9.051912115461331e-06,-0.0001757863081828521,,,,,
1787376071.129964,-2.478030567136551,6.920930193005082e-06,-0.00013274096585387442,,,,,
1787376071.2443204,-2.4780305849047948,3.5320655809252045e-06,-6.514389451894464e-05,,,,,
1787376071.3592222,-2.4780311510257667,-5.287444668359079e-07,1.5296269539772487e-05,,,,,
1787376071.4164393,-2.478031626164512,-2.638290072385854e-06,5.68913962965758e-05,,,,,
1787376071.5295272,-2.478032807133719,-6.626833243415144e-06,0.00013517746522800957,,,,,
1787376071.6450758,-2.478033953377201,-9.713025020064356e-06,0.00019524728027851726,,,,,
1787376071.7471554,-2.47803491469163,-1.2194207024153163e-05,0.00024303401258374068,,,,,
1787376071.8368266,-2.47803510976865,-1.2617232551366623e-05,0.00025009751098848564,,,,,
1787376071.9465117,-2.478035079293522,-1.298973294583561e-05,0.00025606063479241504,,,,,
1787376072.043458,-2.478034833204015,-1.366782265238041e-05,0.00026798842127589853,,,,,
1787376072.129938,-2.478033935346627,-1.2343769347136481e-05,0.00024047402206040476,,,,,
1787376072.2308855,-2.4780329908432646,-1.1182560840082684e-05,0.00021624740077307638,,,,,
1787376072.3433692,-2.4780320365300637,-1.0546029683462154e-05,0.00020241925236832357,,,,,
1787376072.457042,-2.478030959872922,-9.731716409252199e-06,0.0001851024166792541,,,,,
1787376072.56813,-2.478029785921576,-9.169081473239769e-06,0.00017273982819919395,,,,,
1787376072.6257222,-2.4780292091785863,-8.263154608970346e-06,0.00015426746055682657,,,,,
1787376072.739189,-2.478028080722609,-6.863637498731069e-06,0.00012546641558451376,,,,,
1787376072.8579168,-2.4780271471645716,-4.914902089113194e-06,8.593103713309735e-05,,,,,
1787376072.9221895,-2.478026694075135,-4.1641008670512255e-06,7.058670631435403e-05,,,,,
1787376073.0553296,-2.4780265991628774,5.769477829749758e-07,-2.4141994510663e-05,,,,,
1787376073.15825,-2.478027548803348,4.191291116616044e-06,-9.57971470372783e-05,-2.8049217759882885,1.3277060549677162,-133.03168190255792,1.3674,133.032
1787376073.2272193,-2.4780282458481406,5.846497478691404e-06,-0.000128463467292369,-2.941638421362378,1.272977051885205,-133.64791130104834,1.3548,133.648
1787376073.3708653,-2.4780304107730675,9.46998896271081e-06,-0.0001996149507194624,-3.0445018559543255,1.2513439624363285,-133.6479105790301,1.3736,133.648
1787376073.446934,-2.4780318610588634,1.1367937773208535e-05,-0.00023670130810599647,-3.0445018559543255,1.2513439624363285,-133.6479105790301,1.3736,133.648
1787376073.5173602,-2.4780335560634406,1.3330258871351285e-05,-0.0002748789872738352,-3.2041409115806085,1.2177704559742808,-133.64790946671295,1.4178,133.648
1787376073.661191,-2.478037010536622,1.6680519628334484e-05,-0.00033956650033258333,-3.2845057514777647,1.2008690171559182,-133.64790891046655,1.4465,133.648
1787376073.729917,-2.4780386747640395,1.810928493512309e-05,-0.0003668949399111552,-3.2845057514777647,1.2008690171559182,-133.64790891046655,1.4465,133.648
1787376073.8710587,-2.478041059224184,1.981362667773711e-05,-0.0003986483453633191,-3.446733545014362,1.166751071263469,-133.64790779501237,1.5165,133.648
1787376073.9427545,-2.478042005398146,2.052838837527697e-05,-0.00041170577378836054,-2.125478569030303,0.12075792801590124,-150.58758051546258,0.3727,150.587
1787376074.0160115,-2.478042717204402,2.113463625598398e-05,-0.00042265378449668256,-2.070185995028509,0.04977177404051,-152.13920639970536,0.4109,152.139
1787376074.158574,-2.4780430326553415,2.1522454681559847e-05,-0.00042828700298961416,-1.891432104572919,-0.34834321268432417,-156.3852102805923,0.6823,156.385
1787376074.2274919,-2.4780428838863258,2.1658963901188306e-05,-0.0004299585559918353,-2.2047603618928813,-0.3581495445912712,-157.3842780267374,0.4505,157.384
