t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787536771.8126013,-2.4623745123563436,1.3124992903943246e-06,-5.839711177585119e-05,-3.4288345927510258,-0.11048011842415408,1.8831204708880478,0.9728,1.883,-3.554105310357898,0.14794959573026129,-2.4404667404849607,1.1017
1787536771.8848307,-2.462681667421625,1.3134967031725353e-06,-5.829888126110566e-05,-3.4291297968016248,-0.11052941904815743,1.889296862125426,0.9727,1.889,-3.554105310357898,0.14794959573026129,-2.4404667404849607,1.1014
1787536772.018985,-2.4634988923642887,1.3151385458951578e-06,-5.766598736505771e-05,-3.4291423950634905,-0.11052976479780995,1.8903970053992352,0.9719,1.890,-3.554105310357898,0.14794959573026129,-2.4404667404849607,1.1006
1787536772.084757,-2.464010546739548,1.3146247026954514e-06,-5.717819284957479e-05,-3.4292706511577915,-0.11055032197793163,1.8939776129219805,0.9716,1.894,-3.554105310357898,0.14794959573026129,-2.4404667404849607,1.1001
1787536772.1529443,-2.4645921698034297,1.3150353462617215e-06,-5.656242232739534e-05,-3.4379683428264,-0.41465691284458545,6.848244380615437,1.0580,6.848,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0770
1787536772.2954476,-2.465969936643852,1.313489140593744e-06,-5.5160238287302305e-05,-3.438087144262675,-0.41488979760137873,6.867324467491447,1.0570,6.867,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0758
1787536772.3600936,-2.4667687211804608,1.3115614526932446e-06,-5.4358287224222186e-05,-3.4381031560926583,-0.4149182664197312,6.871461759839964,1.0562,6.872,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0750
1787536772.4898014,-2.468593705005881,1.3077865880197414e-06,-5.231469182189889e-05,-3.4381423785928984,-0.41496959540236034,6.87900945969715,1.0546,6.879,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0734
1787536772.5541892,-2.469623357676232,1.3048997440510057e-06,-5.121139067333798e-05,-3.438168211594868,-0.414994146056606,6.883126774424404,1.0537,6.883,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0724
1787536772.7128808,-2.4719266489927754,1.299049179157778e-06,-4.864017774688117e-05,-3.43822629960042,-0.4150355219164676,6.888562347000061,1.0517,6.889,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0703
1787536772.7858002,-2.473204568574275,1.2948682085382843e-06,-4.718791589547156e-05,-3.4381994503862434,-0.41501688154485705,6.886512853869576,1.0505,6.887,-3.4506803891443565,-0.43317287250976233,7.1504473243075966,1.0692
1787536772.858087,-2.4745697559277366,1.2904100100051509e-06,-4.5640967063317084e-05,-3.438216587742907,-0.4150284999377132,6.887780440858749,1.0492,6.888,-3.315469480132509,-0.43044618725431455,7.407984178280776,0.9447
1787536773.0081494,-2.4775720215030006,1.2816829541570439e-06,-4.228891688956528e-05,-3.3164147772021475,-0.41444126540343496,7.1347849709965,0.9356,7.135,-2.9763511223745756,-0.36078875997402493,6.887780440858748,0.6156
1787536773.07809,-2.4792144868864368,1.2760045916490072e-06,-4.0439335578913335e-05,-3.3241509589993123,-0.40378629998442733,5.596814669977284,0.9365,5.597,-2.544674853700935,-0.00048106375866749796,0.02195838716324183,0.0655
1787536773.1527305,-2.4804427011162327,1.5100064813711894e-06,-4.257542539884775e-05,-3.1720356804301444,-0.09340625286828738,1.2982018762609124,0.6979,1.298,-2.8597074575735655,-0.030106892325124566,0.4931690187630248,0.3805
1787536773.299022,-2.482547779246302,1.6540104075346107e-06,-4.1055258537589414e-05,-2.9015684775038952,-0.03501136685788373,0.41922100994286987,0.4205,0.419,-2.8597074575735655,-0.030106892325124566,0.4931690187630248,0.3784
1787536773.375033,-2.483387818088766,1.6486057465539181e-06,-3.902510819225275e-05,-2.7152975592391195,-0.0165661346206795,0.2395985327949162,0.2325,0.240,-2.503926978821773,-0.0009227723083265228,0.006893815323093074,0.0206
1787536773.516634,-2.4846405712913353,1.5722980629864606e-06,-3.4894306584734455e-05,-2.7143934246364765,-0.01631312836697975,0.20883094747402559,0.2303,0.209,-2.614515656035261,0.006290352415014402,-0.28543663810993847,0.1300
1787536773.5860946,-2.48505424224897,1.5221672595019606e-06,-3.30891551327922e-05,-2.6350771131735944,0.011723876085055034,-0.43895735203696845,0.1505,0.439,-2.614515656035261,0.006290352415014402,-0.28543663810993847,0.1296
1787536773.7188902,-2.485457805339663,1.4274052402879663e-06,-3.0392748153670526e-05,-2.5425352171905784,0.004355291930584626,-0.17128444218768585,0.0572,0.171,-2.457191365607536,0.006432773514810405,-0.20260633952613652,0.0290
1787536773.7841814,-2.4854479221864794,1.3880678880120328e-06,-2.946299872457233e-05,-2.541924443737176,0.004452356356862058,-0.1959161237075692,0.0567,0.196,-2.457191365607536,0.006432773514810405,-0.20260633952613652,0.0290
1787536773.8551948,-2.485296810598802,1.3553522880753693e-06,-2.8809617375244804e-05,-2.4545371102636144,-0.0004969202719364157,-0.0778719879878622,0.0308,0.078,-2.3395684889655124,-0.0347173544527105,0.8108370333921988,0.1498
1787536774.0017235,-2.4845695194108046,1.3083836481777287e-06,-2.8232021425151692e-05,-2.4153617641602816,-0.011812955184453768,0.32682178448346066,0.0702,0.327,-2.3395684889655124,-0.0347173544527105,0.8108370333921988,0.1491
1787536774.0812786,-2.4839922059896393,1.2925804707255369e-06,-2.8922922986039525e-05,-2.426529929131151,-0.005539797899231155,0.02926054567870676,0.0577,0.029,-2.4333165463396624,-0.0030032283672025567,-0.00982318690301446,0.0508
1787536774.1983607,-2.4824060745082988,1.2724469089682444e-06,-2.9094294899061964e-05,-2.426420452304392,-0.005533948844415654,0.024448431595574777,0.0563,0.024,-2.4333165463396624,-0.0030032283672025567,-0.00982318690301446,0.0492
1787536774.3129926,-2.4802370078177614,1.2598901718916119e-06,-3.061125036052027e-05,-2.4262794598434203,-0.005525904958195158,0.01967381750662435,0.0542,0.020,-2.4333165463396624,-0.0030032283672025567,-0.00982318690301446,0.0470
1787536774.3888752,-2.478930399594928,1.2545698226690152e-06,-3.229262406584752e-05,-2.425978057197281,0.0037939454812384735,-0.1521786153917876,0.0531,0.152,-2.425775214474819,0.006314139757510406,-0.19005013084710096,0.0535
1787536774.4776654,-2.4774735764691096,1.2491629047222514e-06,-3.3498632444249386e-05,-2.4176800129260267,0.007055620403374175,-0.16962154591881973,0.0602,0.170,-2.418934092879588,0.004756711556986085,-0.17000220870858776,0.0587
1787536774.55743,-2.476282974622436,0.00020925487592396528,-0.012304334427435105,-2.517561921468825,-0.02723831512659195,0.48200010129948656,0.0496,0.494,-2.5379818801616674,-0.025097072518236136,0.388090898456165,0.0667
1787536774.717422,-2.4742770799911407,0.0005454605720057748,-0.15136155504750604,-2.5186424904604428,-0.02782029312714512,0.5430886202102378,0.0527,0.694,-2.4829709235736623,0.01385560235002285,-0.24858833628652463,0.0159
1787536774.8007746,-2.4732116125607115,0.00026031949806419683,-0.25603271058570454,-2.506968054151104,-6.386856095465937e-05,-0.0597418974341281,0.0338,0.196,-2.4829709235736623,0.01385560235002285,-0.24858833628652463,0.0167
