t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787415184.713479,-2.466930706098822,2.0134415708996734e-06,0.00027585499702393636,,,,,,,,,
1787415184.8508086,-2.467344784429499,1.796870251551439e-06,0.00028296722901252836,-2.699276120200337,-0.012964749743857789,0.30206050294196124,0.2323,0.302,,,,
1787415184.9140127,-2.467666656675932,1.7138723923175675e-06,0.00028565462474593824,-2.7145631254474214,-0.012483294497383857,0.3263930909780028,0.2472,0.326,,,,
1787415185.0412061,-2.468543111016464,1.5763982217777237e-06,0.0002909332718275636,-2.7145631254474214,-0.012483294497383857,0.3263930909780028,0.2463,0.326,,,,
1787415185.1067336,-2.4690993510734005,1.5164051838070423e-06,0.00029313718116021845,-2.7453873673776386,-0.011323583098953177,0.37505175401740637,0.2765,0.375,,,,
1787415185.2370322,-2.470453106892814,1.406957604368407e-06,0.00029804383316375924,-2.7453873673776386,-0.011323583098953177,0.37505175401740637,0.2752,0.375,,,,
1787415185.366397,-2.472137288367139,1.3052953347887446e-06,0.00030298073708474724,-2.776556600886532,-0.009910206943647117,0.42371855311677253,0.3046,0.423,,,,
1787415185.4376369,-2.4731071174604273,1.2567279598668549e-06,0.0003057475858601313,-2.776556600886532,-0.009910206943647117,0.42371855311677253,0.3036,0.423,,,,
1787415185.5066752,-2.474164445112586,1.208605116462708e-06,0.00030799916376001227,-2.808083600179254,-0.008242922968536844,0.47241215515803386,0.3340,0.472,,,,
1787415185.6333122,-2.4765495125433232,1.276101038521631e-06,0.0003098412689341695,-2.808083600179254,-0.008242922968536844,0.47241215515803386,0.3316,0.472,,,,
1787415185.765878,-2.4788449159841695,3.478732057618446e-06,0.0002740841805287329,-2.59165541587939,0.011520121163062613,-0.21826485038161503,0.1134,0.219,-2.549932463888592,-0.0025674453525176785,-0.007540472817449124,0.0711
1787415185.8226485,-2.479807394050897,7.707127159553692e-06,0.00164563349718195,-2.5944749513861436,0.012596657046138186,-0.2060698552134864,0.1154,0.208,-2.549932463888592,-0.0025674453525176785,-0.007540472817449124,0.0702
1787415185.9632943,-2.48105132641205,1.5469449579397877e-05,0.0015479782417466858,-2.5743301563290486,-0.00020893431962657784,-0.04590047766956286,0.0933,0.047,-2.5200001612301923,-0.007637013971051419,0.03423598386019869,0.0397
1787415186.0300314,-2.4814636239756127,1.9361508369302512e-05,0.0015010044803482664,-2.497740177946032,0.0006660562946923763,-0.04702206403723971,0.0163,0.049,-2.4685127177356003,0.0036893014701845903,-0.08480463365644485,0.0135
1787415186.1590705,-2.4818425599991003,2.3201665419421587e-05,0.0014647147985428586,-2.472398157932345,-0.01120184426415898,0.0823140480029514,0.0147,0.081,-2.4446851541581975,-0.019067996605738366,0.19605294518075828,0.0418
1787415186.220752,-2.481809271465409,2.2718419324168807e-05,0.0014778204072471266,-2.45502926647928,-0.017172893844761235,0.17910849800209067,0.0318,0.178,-2.4593164679059236,-0.02804955826898094,0.2529927067328579,0.0360
1787415186.3545465,-2.4812971605966307,1.6317499068585055e-05,0.0015754718338599838,-2.4517418633398074,-0.02537433172278276,0.2161483445982369,0.0390,0.215,-2.4432276985090025,-0.022379435051139464,0.06684151063992644,0.0442
1787415186.4199781,-2.4808180560589155,1.045655192591862e-05,0.0016631163056330146,-2.441426368862362,-0.024156491517318024,0.08875517032583552,0.0462,0.087,-2.4432276985090025,-0.022379435051139464,0.06684151063992644,0.0438
1787415186.5453749,-2.479412113479527,-5.2069607092601416e-06,0.001912627574391601,-2.4451074957307806,-0.02613282179080775,-0.006218689950685608,0.0431,0.008,-2.458980089946655,-0.028492499840138488,0.034543795659506646,0.0351
1787415186.6079104,-2.4784839127493017,-1.3542135107682854e-05,0.0020596912106010806,-2.4519753648122173,-0.03098190373160946,0.07129211769560165,0.0408,0.069,-2.47059746953206,-0.034244802721968975,0.12760423384536262,0.0351
1787415186.747321,-2.477083628711159,-2.651893519198969e-05,0.002343854255129505,-2.485871322929536,-0.045910982725593505,0.4454698424513498,0.0467,0.443,-2.645121994940385,-0.0742305730208077,0.9320324718416754,0.1837
1787415186.8186471,-2.476515281228999,-3.176105157059596e-05,0.002468002690096958,-2.6430274798574493,-0.06010256221669826,0.4900218994009693,0.1770,0.488,-2.7127028606982497,-0.08418112917084404,1.0326146250194408,0.2507
1787415186.950991,-2.475666240001665,-3.6901223301650775e-05,0.0026078140389335343,-2.651674237892445,-0.068669650125989,0.8472595794895562,0.1889,0.845,-2.6289298636456593,-0.06891461528757713,0.9033082186307727,0.1680
1787415187.0172415,-2.4753831697903457,-3.5854529946570065e-05,0.0025961515337560364,-2.6582817560103282,-0.07570229397702294,1.0206745746051982,0.1979,1.018,-2.635650794422996,-0.073410055426605,0.9806615017876537,0.1763
1787415187.1469646,-2.4750957181358872,-2.831525272488471e-05,0.0024365353936908747,-2.655198589223503,-0.0917949954118916,1.4811852208899938,0.2021,1.479,-2.632338004769734,-0.06682077071921289,0.928793573107644,0.1708
1787415187.2232287,-2.475090487288356,-2.3151111869958862e-05,0.0023190672688117283,-2.6557515842116826,-0.08004980677471527,1.1475553108754613,0.1976,1.145,-2.63551249002666,-0.0744262384470112,1.0522956649512776,0.1768
1787415187.3469348,-2.475356620262994,-1.3158065266082508e-05,0.002086829559180441,-2.6706631758226878,-0.08592963759266092,1.2278685506686347,0.2134,1.226,-2.63551249002666,-0.0744262384470112,1.0522956649512776,0.1766
1787415187.411447,-2.4756283883160486,-8.98014817968098e-06,0.0019892737668464554,-2.6590841148655175,-0.07173869463933559,1.1873594412077844,0.1970,1.185,-2.6288391336352257,-0.06223108098695227,1.0260749724927365,0.1654
