t,res_kind,mkind,ref_b_x,ref_b_y,ref_b_yaw,contra_b,raw_x,raw_y,raw_yaw,chosen_x,chosen_y,chosen_yaw,ref_a_x,ref_a_y,ref_a_yaw,contra_a,resid_to_ref,reloc_x,reloc_y,reloc_yaw,prior_x,prior_y,prior_yaw,resid_m
1787538044.667,full,ok,-1.9314,0.0404,0.0267,0,-1.9401,0.0383,0.0298,-1.9401,0.0383,0.0298,-1.9314,0.0404,0.0267,0,0.0089,,,,-1.9421,0.0360,0.0306,0.4869
1787538044.778,full,ok,-1.9314,0.0404,0.0267,0,-1.9520,0.0395,0.0292,-1.9520,0.0395,0.0292,-1.9314,0.0404,0.0267,0,0.0206,,,,-1.9403,0.0377,0.0299,0.5007
1787538044.860,full,ok,-1.9314,0.0404,0.0267,0,-1.9457,0.0424,0.0289,-1.9457,0.0424,0.0289,-1.9314,0.0404,0.0267,0,0.0145,,,,-1.9473,0.0389,0.0293,0.4968
1787538045.006,full,ok,-1.9314,0.0404,0.0267,0,-1.9496,0.0456,0.0283,-1.9496,0.0456,0.0283,-1.9314,0.0404,0.0267,0,0.0190,,,,-1.9463,0.0408,0.0290,0.4746
1787538045.132,full,ok,-1.9314,0.0404,0.0267,0,-1.9514,0.0486,0.0273,-1.9514,0.0486,0.0273,-1.9314,0.0404,0.0267,0,0.0216,,,,-1.9485,0.0448,0.0285,0.4880
1787538045.294,full,ok,-1.9314,0.0404,0.0267,0,-1.9426,0.0420,0.0293,-1.9426,0.0420,0.0293,-1.9314,0.0404,0.0267,0,0.0113,,,,-1.9511,0.0478,0.0272,0.4783
1787538045.397,full,ok,-1.9314,0.0404,0.0267,0,-1.9608,0.0455,0.0277,-1.9608,0.0455,0.0277,-1.9314,0.0404,0.0267,0,0.0298,,,,-1.9511,0.0478,0.0272,0.5013
1787538045.529,full,ok,-1.9314,0.0404,0.0267,0,-1.9432,0.0414,0.0293,-1.9432,0.0414,0.0293,-1.9314,0.0404,0.0267,0,0.0118,,,,-1.9548,0.0447,0.0279,0.5006
1787538045.652,full,ok,-1.9314,0.0404,0.0267,0,-1.9591,0.0356,0.0337,-1.9591,0.0356,0.0337,-1.9314,0.0404,0.0267,0,0.0281,,,,-1.9477,0.0419,0.0291,0.4151
1787538045.821,full,ok,-1.9314,0.0404,0.0267,0,-1.9467,0.0437,0.0290,-1.9467,0.0437,0.0290,-1.9314,0.0404,0.0267,0,0.0156,,,,-1.9561,0.0346,0.0336,0.5149
1787538045.899,full,ok,-1.9314,0.0404,0.0267,0,-1.9600,0.0353,0.0330,-1.9600,0.0353,0.0330,-1.9314,0.0404,0.0267,0,0.0290,,,,-1.9495,0.0423,0.0294,0.4316
1787538046.047,full,ok,-1.9314,0.0404,0.0267,0,-1.9568,0.0422,0.0291,-1.9568,0.0422,0.0291,-1.9314,0.0404,0.0267,0,0.0254,,,,-1.9555,0.0372,0.0325,0.4906
1787538046.171,full,ok,-1.9314,0.0404,0.0267,0,-1.9433,0.0399,0.0297,-1.9433,0.0399,0.0297,-1.9314,0.0404,0.0267,0,0.0119,,,,-1.9567,0.0409,0.0294,0.5156
1787538046.337,full,ok,-1.9314,0.0404,0.0267,0,-1.9567,0.0453,0.0284,-1.9567,0.0453,0.0284,-1.9314,0.0404,0.0267,0,0.0258,,,,-1.9482,0.0385,0.0296,0.5125
1787538046.430,full,ok,-1.9314,0.0404,0.0267,0,-1.9484,0.0426,0.0291,-1.9484,0.0426,0.0291,-1.9314,0.0404,0.0267,0,0.0171,,,,-1.9540,0.0442,0.0286,0.5161
1787538046.569,full,ok,-1.9314,0.0404,0.0267,0,-1.9483,0.0420,0.0285,-1.9483,0.0420,0.0285,-1.9314,0.0404,0.0267,0,0.0170,,,,-1.9508,0.0429,0.0290,0.4988
1787538046.732,full,ok,-1.9314,0.0404,0.0267,0,-1.9326,0.0430,0.0304,-1.9326,0.0430,0.0304,-1.9314,0.0404,0.0267,0,0.0029,,,,-1.9491,0.0408,0.0284,0.5111
1787538046.842,full,ok,-1.9314,0.0404,0.0267,0,-1.9442,0.0504,0.0278,-1.9442,0.0504,0.0278,-1.9314,0.0404,0.0267,0,0.0162,,,,-1.9376,0.0428,0.0304,0.5269
1787538046.936,full,ok,-1.9314,0.0404,0.0267,0,-1.9511,0.0540,0.0262,-1.9511,0.0540,0.0262,-1.9314,0.0404,0.0267,0,0.0240,,,,-1.9411,0.0486,0.0282,0.4928
1787538047.109,full,ok,-1.9314,0.0404,0.0267,0,-1.9469,0.0505,0.0273,-1.9469,0.0505,0.0273,-1.9314,0.0404,0.0267,0,0.0185,,,,-1.9466,0.0529,0.0262,0.5261
1787538047.278,full,ok,-1.9314,0.0404,0.0267,0,-1.9379,0.0446,0.0292,-1.9379,0.0446,0.0292,-1.9314,0.0404,0.0267,0,0.0077,,,,-1.9468,0.0509,0.0272,0.5279
1787538047.419,full,ok,-1.9314,0.0404,0.0267,0,-1.9426,0.0411,0.0296,-1.9426,0.0411,0.0296,-1.9314,0.0404,0.0267,0,0.0112,,,,-1.9398,0.0446,0.0290,0.4968
1787538047.598,full,ok,-1.9314,0.0404,0.0267,0,-1.9473,0.0464,0.0281,-1.9473,0.0464,0.0281,-1.9314,0.0404,0.0267,0,0.0170,,,,-1.9416,0.0416,0.0295,0.5308
1787538047.674,full,ok,-1.9314,0.0404,0.0267,0,-1.9434,0.0484,0.0281,-1.9434,0.0484,0.0281,-1.9314,0.0404,0.0267,0,0.0144,,,,-1.9407,0.0394,0.0295,0.5142
1787538047.773,full,ok,-1.9314,0.0404,0.0267,0,-1.9232,0.0430,0.0300,-1.9232,0.0430,0.0300,-1.9314,0.0404,0.0267,0,0.0087,,,,-1.9442,0.0475,0.0283,0.5139
1787538047.934,full,ok,-1.9314,0.0404,0.0267,0,-1.9347,0.0460,0.0294,-1.9347,0.0460,0.0294,-1.9314,0.0404,0.0267,0,0.0065,,,,-1.9299,0.0429,0.0298,0.4956
1787538048.079,full,ok,-1.9314,0.0404,0.0267,0,-1.9497,0.0487,0.0287,-1.9497,0.0487,0.0287,-1.9314,0.0404,0.0267,0,0.0202,,,,-1.9329,0.0454,0.0296,0.4812
1787538048.195,full,ok,-1.9314,0.0404,0.0267,0,-1.9472,0.0546,0.0273,-1.9472,0.0546,0.0273,-1.9314,0.0404,0.0267,0,0.0212,,,,-1.9312,0.0442,0.0296,0.4959
1787538048.311,full,ok,-1.9314,0.0404,0.0267,0,-1.9485,0.0468,0.0291,-1.9485,0.0468,0.0291,-1.9314,0.0404,0.0267,0,0.0182,,,,-1.9459,0.0532,0.0277,0.4950
1787538048.458,full,ok,-1.9314,0.0404,0.0267,0,-1.9451,0.0468,0.0289,-1.9451,0.0468,0.0289,-1.9314,0.0404,0.0267,0,0.0152,,,,-1.9477,0.0480,0.0288,0.5028
1787538048.616,full,ok,-1.9314,0.0404,0.0267,0,-1.9486,0.0463,0.0284,-1.9486,0.0463,0.0284,-1.9314,0.0404,0.0267,0,0.0182,,,,-1.9467,0.0460,0.0289,0.4896
1787538048.737,full,ok,-1.9314,0.0404,0.0267,0,-1.9484,0.0425,0.0297,-1.9484,0.0425,0.0297,-1.9314,0.0404,0.0267,0,0.0172,,,,-1.9480,0.0462,0.0285,0.5070
1787538048.894,full,ok,-1.9314,0.0404,0.0267,0,-1.9448,0.0464,0.0288,-1.9448,0.0464,0.0288,-1.9314,0.0404,0.0267,0,0.0147,,,,-1.9492,0.0414,0.0296,0.5007
1787538049.008,full,ok,-1.9314,0.0404,0.0267,0,-1.9445,0.0445,0.0289,-1.9445,0.0445,0.0289,-1.9314,0.0404,0.0267,0,0.0137,,,,-1.9462,0.0456,0.0290,0.5125
1787538049.158,full,ok,-1.9314,0.0404,0.0267,0,-1.9563,0.0497,0.0272,-1.9563,0.0497,0.0272,-1.9314,0.0404,0.0267,0,0.0266,,,,-1.9452,0.0446,0.0289,0.5007
1787538049.273,full,ok,-1.9314,0.0404,0.0267,0,-1.9633,0.0477,0.0270,-1.9633,0.0477,0.0270,-1.9314,0.0404,0.0267,0,0.0327,,,,-1.9526,0.0486,0.0274,0.4637
1787538049.566,full,ok,-1.9314,0.0404,0.0267,0,-1.9351,0.0176,0.0403,-1.9351,0.0176,0.0403,-1.9314,0.0404,0.0267,0,0.0231,,,,-1.9614,0.0472,0.0269,0.5968
