t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787413833.2629027,-2.4673986290814205,1.3729055843496958e-06,0.00013356489866435097,,,,,,,,,
1787413833.3351095,-2.467240428678127,1.3640935317623954e-06,0.0001335678921465892,-2.6722648590722464,0.003981902581496279,-0.030267473848970407,0.2051,0.030,,,,
1787413833.4541326,-2.4671540738663933,1.3548940803015353e-06,0.00013358983114398568,-2.689006723961609,0.004592676231764755,-0.032112504113289336,0.2219,0.032,,,,
1787413833.5825493,-2.467374069565416,1.3521937441118555e-06,0.00013322480427449868,-2.705799532881942,0.005208304630412212,-0.03395630289217827,0.2385,0.034,,,,
1787413833.6506257,-2.4675993634204274,1.350799637097591e-06,0.00013339496027283895,-2.7230120482132287,0.005842397267510807,-0.03583914789404448,0.2555,0.036,,,,
1787413833.7198708,-2.467902037952002,1.3507420363416118e-06,0.00013317040287140033,-2.7230120482132287,0.005842397267510807,-0.03583914789404448,0.2552,0.036,,,,
1787413833.8592322,-2.4687419646990674,1.3493987598992767e-06,0.00013396268614710336,-2.7565474703748025,0.007086142486661641,-0.03948736396917141,0.2879,0.040,,,,
1787413833.9272912,-2.469280804672463,1.3473581489227224e-06,0.000134015217551622,-2.7565474703748025,0.007086142486661641,-0.03948736396917141,0.2874,0.040,,,,
1787413834.0672936,-2.470601318866153,1.3434103841927238e-06,0.00013550402483566726,-2.7906804392682663,0.008363858392376003,-0.04317372192917105,0.3202,0.043,,,,
1787413834.1405137,-2.4713854719300747,1.3398508735319465e-06,0.00013583694773333245,-2.7906804392682663,0.008363858392376003,-0.04317372192917105,0.3194,0.043,,,,
1787413834.267704,-2.4732088371006578,1.329926424772156e-06,0.00013800942097789393,-2.825068770345394,0.009662964853605746,-0.04686084323906213,0.3520,0.047,,,,
1787413834.3362274,-2.474251322166784,1.32315236517816e-06,0.00013873719689026296,-2.842361068577247,0.01032092134734276,-0.04870493872566341,0.3683,0.049,,,,
1787413834.4774914,-2.4766067628973767,1.3040050891156656e-06,0.00014059990568651338,-2.842361068577247,0.01032092134734276,-0.04870493872566341,0.3659,0.049,,,,
1787413834.5370107,-2.4779233800653517,1.7428680113014785e-06,0.00015201715853429063,-2.8771236546096346,0.011651850405611045,-0.05239224436933371,0.3994,0.053,,,,
1787413834.6718678,-2.479851953135321,3.1389206878194907e-06,0.00014640546747918357,-2.8771236546096346,0.011651850405611045,-0.05239224436933371,0.3974,0.053,-2.6145975902569103,0.03847921903832592,-0.8732177517256975,0.1401
1787413834.7422369,-2.4805566248102884,4.433397254554613e-06,2.4016954967428745e-05,-2.55873888847882,0.007230959665603297,-0.17886012082734892,0.0785,0.179,-2.5212240045792944,-0.0029326433345374307,-0.02758633499678678,0.0408
1787413834.8147852,-2.4811482876329376,5.853704961056788e-06,2.832081077822965e-06,-2.541398743975814,-0.008881714880768122,0.050912124356471876,0.0609,0.051,-2.48736274537762,-0.006712304067541266,0.02239578784646251,0.0092
1787413834.9590158,-2.4819411982395976,9.273442529744881e-06,-4.352612038221025e-05,-2.516487974534167,-0.007252403562348769,0.0013385980210948853,0.0353,0.001,-2.5087825718429446,-0.002320157540431816,0.010704035680500068,0.0269
1787413835.028764,-2.482144723019016,1.1264717132347977e-05,-6.274027633879404e-05,-2.5109644082324656,-0.004452811163512336,0.0363987274215865,0.0292,0.036,-2.458867377956298,-0.008955866245631152,0.08606094434762424,0.0249
1787413835.1749575,-2.4821761150924786,1.5808501476588033e-05,-9.637823899816458e-05,-2.472328435403563,-0.00912603726993878,0.08849068125893873,0.0134,0.089,-2.457789145672755,-0.0013340781400377549,0.011301422175588553,0.0244
1787413835.2439153,-2.4820075621870505,1.835872880617367e-05,-0.00011136545560342002,-2.4617259617719087,-0.004406485279647288,0.04916301806867542,0.0208,0.049,-2.4712686716960426,-0.006785677950624657,0.1037274011643822,0.0127
1787413835.387502,-2.4813094253030874,2.4006725842771955e-05,-0.00013820770069171868,-2.4553626496660725,-0.006801979150535992,0.03412843955577158,0.0268,0.034,-2.4574928996326637,-0.0060216892224023875,0.021708395214292617,0.0246
1787413835.4674568,-2.480782275073805,2.7100050540789986e-05,-0.00015030196766100778,-2.4457561344999252,-0.00816227149400997,0.048580056849417914,0.0360,0.049,-2.476252268318169,-0.0051721251769644054,0.07449962693189795,0.0069
1787413835.5402763,-2.4804513867687845,3.0729011169077175e-05,-0.00013649334776756953,-2.483372496600081,-0.007290016626486883,0.054107886479394254,0.0079,0.054,-2.538622990616264,-0.0077364280098535815,0.05748571709550746,0.0587
1787413835.6752443,-2.480029984604215,3.832196251892089e-05,-0.00012750301115643006,-2.4993638602208597,0.0015717338804625575,-0.02699243639786456,0.0194,0.027,-2.6189609201313955,0.039971366265594305,-0.8946033487866779,0.1446
1787413835.743646,-2.479960981336679,4.244153310211353e-05,-0.00012434392180175557,-2.528898432149279,0.014787695356418811,-0.4436639234387895,0.0511,0.444,-2.6189609201313955,0.039971366265594305,-0.8946033487866779,0.1446
1787413835.815676,-2.4799870061716347,4.678510608470144e-05,-0.00012149997383330274,-2.5344053698914872,0.018622047149570106,-0.4852489602028772,0.0575,0.485,-2.6189609201313955,0.039971366265594305,-0.8946033487866779,0.1446
1787413835.9594622,-2.480317610538427,5.6073740620852234e-05,-0.00011486705856671292,-2.5376228154169707,0.0208960495800875,-0.5095407850570314,0.0610,0.509,-2.6189609201313955,0.039971366265594305,-0.8946033487866779,0.1443
1787413836.0859275,-2.481018845295847,6.619976811132294e-05,-0.00011661741242138841,-2.5376228154169707,0.0208960495800875,-0.5095407850570314,0.0603,0.509,-2.6904757749934918,0.01623381132231904,-0.3732858184949907,0.2101
