t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787553049.2573993,-0.8733756516468114,2.4869841420001486,3.942517590673836,,,,,,,,,
1787553049.3242795,-0.8714946763684875,2.4869092061997256,3.932650300176081,,,,,,,,,
1787553049.4006348,-0.8696608709556415,2.486664424616953,4.055621416990138,,,,,,,,,
1787553049.5524185,-0.8671355979638312,2.486966149675853,4.108324305078912,,,,,,-0.9959489015307784,2.3561944382590387,6.224826974964938,0.1836
1787553049.6261282,-0.8657992480178442,2.4875922293115287,4.1341273900899385,,,,,,-0.9959489015307784,2.3561944382590387,6.224826974964938,0.1849
1787553049.741327,-0.8633259652470452,2.4892139989565805,3.8202243565035805,-0.9791575660858032,2.373843596427721,5.958176127362997,0.1635,2.138,-0.9927041470578177,2.326369666108088,7.394937955159142,0.2080
1787553049.8039253,-0.8623641548566384,2.489360890040081,3.754880042351139,-0.9850985846567029,2.33752243985134,7.233008760737327,0.1952,3.478,-1.0029011101196064,2.3237541264605777,7.181146591904594,0.2172
1787553049.9492218,-0.8602665028471508,2.4887737499870255,3.538333646795548,-0.9960482664440546,2.329879930034004,7.098429212395394,0.2090,3.560,-0.9775918654857875,2.3346217354514764,7.049439660051782,0.1937
1787553050.034082,-0.8592181727606859,2.4880748709830796,3.4841866360178897,-0.983345482227554,2.3315893032692294,7.0463323758920176,0.1997,3.562,-0.9775918654857875,2.3346217354514764,7.049439660051782,0.1938
1787553050.1133537,-0.8582908040788326,2.487400384319573,3.6072795655112757,-0.9847705525850537,2.3246896689876815,7.195598749678705,0.2061,3.588,-0.9910936475294034,2.32536674833965,6.82884725015965,0.2095
1787553050.2461486,-0.8570670100049902,2.4874650790962183,3.657016418351636,-0.988461308692119,2.327866074034996,6.597085589384336,0.2067,2.940,-0.9910936475294034,2.32536674833965,6.82884725015965,0.2103
1787553050.3470824,-0.8558906307725817,2.4884089466856416,3.504764495109091,-0.9909862523946765,2.3193662215831616,6.730144195226923,0.2164,3.225,-0.9910936475294034,2.32536674833965,6.82884725015965,0.2118
1787553050.415828,-0.8559008472859638,2.4886251655165235,3.496334864913912,-0.9905942396528057,2.3230263242882376,6.91664499576441,0.2135,3.420,-0.9917138366256384,2.321188575031146,6.953668702350038,0.2156
1787553050.5000472,-0.855853605893689,2.4885915122819093,3.435162858478299,-0.988402284396072,2.326236964432002,6.70392945842475,0.2096,3.269,-0.9789320890463766,2.342897780284569,6.529420143026258,0.1907
